sourceid,dstid,time_period,average_travel_time,average_travel_time (in minutes),average_travel_time (in hours),average_speed (D/T),lng_o,lat_o,lng_d,lat_d
357,265,2016Q1,2760.36,46.006,0.766766667,17.17602052,72.86083749,19.11556493,72.86236799,19.22057712
357,265,2016Q2,3051.96,50.866,0.847766667,15.53493493,72.86083749,19.11556493,72.86236799,19.22057712
357,265,2016Q3,4029.215,67.15358333,1.119226389,11.76705636,72.86083749,19.11556493,72.86236799,19.22057712
357,265,2016Q4,3708.345,61.80575,1.030095833,12.7852182,72.86083749,19.11556493,72.86236799,19.22057712
357,265,2017Q1,3160.24,52.67066667,0.877844444,15.00265803,72.86083749,19.11556493,72.86236799,19.22057712
357,265,2017Q2,4042.74,67.379,1.122983333,11.72768964,72.86083749,19.11556493,72.86236799,19.22057712
357,265,2017Q3,4642.945,77.38241667,1.289706944,10.21162215,72.86083749,19.11556493,72.86236799,19.22057712
357,265,2017Q4,4249.085,70.81808333,1.180301389,11.15816699,72.86083749,19.11556493,72.86236799,19.22057712
357,265,2018Q1,4355.585,72.59308333,1.209884722,10.88533458,72.86083749,19.11556493,72.86236799,19.22057712
357,265,2018Q2,4185.55,69.75916667,1.162652778,11.32754357,72.86083749,19.11556493,72.86236799,19.22057712
357,265,2018Q3,4404.93,73.4155,1.223591667,10.76339465,72.86083749,19.11556493,72.86236799,19.22057712
357,265,2018Q4,3704.32,61.73866667,1.028977778,12.79911023,72.86083749,19.11556493,72.86236799,19.22057712
357,403,2016Q1,2269.41,37.8235,0.630391667,7.074966621,72.86083749,19.11556493,72.83397494,19.13399766
357,403,2016Q2,2184.89,36.41483333,0.606913889,7.348653708,72.86083749,19.11556493,72.83397494,19.13399766
357,403,2016Q3,2543.375,42.38958333,0.706493056,6.312871676,72.86083749,19.11556493,72.83397494,19.13399766
357,403,2016Q4,2303.555,38.39258333,0.639876389,6.970096221,72.86083749,19.11556493,72.83397494,19.13399766
357,403,2017Q1,2206.43,36.77383333,0.612897222,7.276913385,72.86083749,19.11556493,72.83397494,19.13399766
357,403,2017Q2,2372.99,39.54983333,0.659163889,6.76614735,72.86083749,19.11556493,72.83397494,19.13399766
357,403,2017Q3,2581.29,43.0215,0.717025,6.220145741,72.86083749,19.11556493,72.83397494,19.13399766
357,403,2017Q4,2639.315,43.98858333,0.733143056,6.083396639,72.86083749,19.11556493,72.83397494,19.13399766
357,403,2018Q1,2368.73,39.47883333,0.657980556,6.778315806,72.86083749,19.11556493,72.83397494,19.13399766
357,403,2018Q2,2205.3,36.755,0.612583333,7.28064209,72.86083749,19.11556493,72.83397494,19.13399766
357,403,2018Q3,2369.35,39.48916667,0.658152778,6.77654209,72.86083749,19.11556493,72.83397494,19.13399766
357,403,2018Q4,2228.505,37.14175,0.619029167,7.204830144,72.86083749,19.11556493,72.83397494,19.13399766
357,577,2016Q1,3712.665,61.87775,1.031295833,25.3564488,72.86083749,19.11556493,72.82171334,18.93477731
357,577,2016Q2,3638.78,60.64633333,1.010772222,25.87130852,72.86083749,19.11556493,72.82171334,18.93477731
357,577,2016Q3,3861.27,64.3545,1.072575,24.38057945,72.86083749,19.11556493,72.82171334,18.93477731
357,577,2016Q4,4002.36,66.706,1.111766667,23.52112254,72.86083749,19.11556493,72.82171334,18.93477731
357,577,2017Q1,3724.04,62.06733333,1.034455556,25.27899808,72.86083749,19.11556493,72.82171334,18.93477731
357,577,2017Q2,3754.925,62.58208333,1.043034722,25.07107332,72.86083749,19.11556493,72.82171334,18.93477731
357,577,2017Q3,3944.28,65.738,1.095633333,23.86747391,72.86083749,19.11556493,72.82171334,18.93477731
357,577,2017Q4,4000.725,66.67875,1.1113125,23.53073505,72.86083749,19.11556493,72.82171334,18.93477731
357,577,2018Q1,3879.33,64.6555,1.077591667,24.26707705,72.86083749,19.11556493,72.82171334,18.93477731
357,577,2018Q2,3871.7,64.52833333,1.075472222,24.31490043,72.86083749,19.11556493,72.82171334,18.93477731
357,577,2018Q3,4145.28,69.088,1.151466667,22.71016674,72.86083749,19.11556493,72.82171334,18.93477731
357,577,2018Q4,4221.02,70.35033333,1.172505556,22.30266618,72.86083749,19.11556493,72.82171334,18.93477731
357,598,2016Q1,3508.46,58.47433333,0.974572222,16.77659144,72.86083749,19.11556493,72.89194254,19.04435159
357,598,2016Q2,3320.725,55.34541667,0.922423611,17.72504498,72.86083749,19.11556493,72.89194254,19.04435159
357,598,2016Q3,4182.07,69.70116667,1.161686111,14.07436987,72.86083749,19.11556493,72.89194254,19.04435159
357,598,2016Q4,3585.37,59.75616667,0.995936111,16.41671571,72.86083749,19.11556493,72.89194254,19.04435159
357,598,2017Q1,3497.84,58.29733333,0.971622222,16.82752785,72.86083749,19.11556493,72.89194254,19.04435159
357,598,2017Q2,3435.19,57.25316667,0.954219444,17.13442342,72.86083749,19.11556493,72.89194254,19.04435159
357,598,2017Q3,3838.265,63.97108333,1.066184722,15.33505373,72.86083749,19.11556493,72.89194254,19.04435159
357,598,2017Q4,3796.975,63.28291667,1.054715278,15.50181394,72.86083749,19.11556493,72.89194254,19.04435159
357,598,2018Q1,3440.375,57.33958333,0.955659722,17.10860008,72.86083749,19.11556493,72.89194254,19.04435159
357,598,2018Q2,3437.48,57.29133333,0.954855556,17.12300872,72.86083749,19.11556493,72.89194254,19.04435159
357,598,2018Q3,4016.775,66.94625,1.115770833,14.65354669,72.86083749,19.11556493,72.89194254,19.04435159
357,598,2018Q4,3559.045,59.31741667,0.988623611,16.53814436,72.86083749,19.11556493,72.89194254,19.04435159
