sourceid,dstid,time_period,average_travel_time,average_travel_time (in minutes),average_travel_time (in hours),average_speed (D/T),lng_o,lat_o,lng_d,lat_d
182,265,2016Q1,5303.9,88.39833333,1.473305556,15.25820623,72.86268374,19.06057506,72.86236799,19.22057712
182,265,2016Q2,5894.02,98.23366667,1.637227778,13.73052687,72.86268374,19.06057506,72.86236799,19.22057712
182,265,2016Q3,7055.355,117.58925,1.959820833,11.47043629,72.86268374,19.06057506,72.86236799,19.22057712
182,265,2016Q4,6038.29,100.6381667,1.677302778,13.4024699,72.86268374,19.06057506,72.86236799,19.22057712
182,265,2017Q1,5647.245,94.12075,1.568679167,14.33052754,72.86268374,19.06057506,72.86236799,19.22057712
182,265,2017Q2,6820.565,113.6760833,1.894601389,11.86529268,72.86268374,19.06057506,72.86236799,19.22057712
182,265,2017Q3,7260.99,121.0165,2.016941667,11.14558759,72.86268374,19.06057506,72.86236799,19.22057712
182,265,2017Q4,6964.29,116.0715,1.934525,11.62042362,72.86268374,19.06057506,72.86236799,19.22057712
182,265,2018Q1,6481.385,108.0230833,1.800384722,12.48622015,72.86268374,19.06057506,72.86236799,19.22057712
182,265,2018Q2,6538.74,108.979,1.816316667,12.37669643,72.86268374,19.06057506,72.86236799,19.22057712
182,265,2018Q3,6555.12,109.252,1.820866667,12.34576941,72.86268374,19.06057506,72.86236799,19.22057712
182,265,2018Q4,5646.905,94.11508333,1.568584722,14.33139038,72.86268374,19.06057506,72.86236799,19.22057712
182,403,2016Q1,4163.405,69.39008333,1.156501389,13.38519793,72.86268374,19.06057506,72.83397494,19.13399766
182,403,2016Q2,4358.605,72.64341667,1.210723611,12.78574223,72.86268374,19.06057506,72.83397494,19.13399766
182,403,2016Q3,4881.86,81.36433333,1.356072222,11.41532121,72.86268374,19.06057506,72.83397494,19.13399766
182,403,2016Q4,4252.59,70.8765,1.181275,13.10448456,72.86268374,19.06057506,72.83397494,19.13399766
182,403,2017Q1,4223.33,70.38883333,1.173147222,13.19527482,72.86268374,19.06057506,72.83397494,19.13399766
182,403,2017Q2,4300.13,71.66883333,1.194480556,12.9596082,72.86268374,19.06057506,72.83397494,19.13399766
182,403,2017Q3,4557.67,75.96116667,1.266019444,12.22730035,72.86268374,19.06057506,72.83397494,19.13399766
182,403,2017Q4,4479.96,74.666,1.244433333,12.43939678,72.86268374,19.06057506,72.83397494,19.13399766
182,403,2018Q1,4109.965,68.49941667,1.141656944,13.55923956,72.86268374,19.06057506,72.83397494,19.13399766
182,403,2018Q2,3843.005,64.05008333,1.067501389,14.50115209,72.86268374,19.06057506,72.83397494,19.13399766
182,403,2018Q3,4272.07,71.20116667,1.186686111,13.04473007,72.86268374,19.06057506,72.83397494,19.13399766
182,403,2018Q4,3788.125,63.13541667,1.052256944,14.71123577,72.86268374,19.06057506,72.83397494,19.13399766
182,577,2016Q1,3504.92,58.41533333,0.973588889,20.59390799,72.86268374,19.06057506,72.82171334,18.93477731
182,577,2016Q2,3599.335,59.98891667,0.999815278,20.05370436,72.86268374,19.06057506,72.82171334,18.93477731
182,577,2016Q3,3684.35,61.40583333,1.023430556,19.59097263,72.86268374,19.06057506,72.82171334,18.93477731
182,577,2016Q4,3797.16,63.286,1.054766667,19.00894353,72.86268374,19.06057506,72.82171334,18.93477731
182,577,2017Q1,3685.2,61.42,1.023666667,19.58645392,72.86268374,19.06057506,72.82171334,18.93477731
182,577,2017Q2,3528.075,58.80125,0.980020833,20.45874875,72.86268374,19.06057506,72.82171334,18.93477731
182,577,2017Q3,3694.67,61.57783333,1.026297222,19.53625087,72.86268374,19.06057506,72.82171334,18.93477731
182,577,2017Q4,3704.075,61.73458333,1.028909722,19.48664646,72.86268374,19.06057506,72.82171334,18.93477731
182,577,2018Q1,3584.17,59.73616667,0.995602778,20.1385537,72.86268374,19.06057506,72.82171334,18.93477731
182,577,2018Q2,3533.985,58.89975,0.9816625,20.42453491,72.86268374,19.06057506,72.82171334,18.93477731
182,577,2018Q3,3746.425,62.44041667,1.040673611,19.26636727,72.86268374,19.06057506,72.82171334,18.93477731
182,577,2018Q4,3914.75,65.24583333,1.087430556,18.437959,72.86268374,19.06057506,72.82171334,18.93477731
182,598,2016Q1,1820.47,30.34116667,0.505686111,17.93602751,72.86268374,19.06057506,72.89194254,19.04435159
182,598,2016Q2,2185.915,36.43191667,0.607198611,14.93745182,72.86268374,19.06057506,72.89194254,19.04435159
182,598,2016Q3,2203.25,36.72083333,0.612013889,14.81992511,72.86268374,19.06057506,72.89194254,19.04435159
182,598,2016Q4,1808.675,30.14458333,0.502409722,18.0529946,72.86268374,19.06057506,72.89194254,19.04435159
182,598,2017Q1,1884.17,31.40283333,0.523380556,17.32964648,72.86268374,19.06057506,72.89194254,19.04435159
182,598,2017Q2,1658.92,27.64866667,0.460811111,19.68268512,72.86268374,19.06057506,72.89194254,19.04435159
182,598,2017Q3,2165.34,36.089,0.601483333,15.07938707,72.86268374,19.06057506,72.89194254,19.04435159
182,598,2017Q4,1977.7,32.96166667,0.549361111,16.51008748,72.86268374,19.06057506,72.89194254,19.04435159
182,598,2018Q1,1919.99,31.99983333,0.533330556,17.00633857,72.86268374,19.06057506,72.89194254,19.04435159
182,598,2018Q2,1939.83,32.3305,0.538841667,16.83240284,72.86268374,19.06057506,72.89194254,19.04435159
182,598,2018Q3,2419.69,40.32816667,0.672136111,13.49429059,72.86268374,19.06057506,72.89194254,19.04435159
182,598,2018Q4,2014.055,33.56758333,0.559459722,16.21206968,72.86268374,19.06057506,72.89194254,19.04435159
