sourceid,dstid,time_period,average_travel_time,average_travel_time (in minutes),average_travel_time (in hours),average_speed (D/T),lng_o,lat_o,lng_d,lat_d
239,265,2016Q1,6839.025,113.98375,1.899729167,15.82330815,72.8289638,18.99918013,72.86236799,19.22057712
239,265,2016Q2,7351.985,122.5330833,2.042218056,14.7192901,72.8289638,18.99918013,72.86236799,19.22057712
239,265,2016Q3,8108.905,135.1484167,2.252473611,13.34532838,72.8289638,18.99918013,72.86236799,19.22057712
239,265,2016Q4,7248.265,120.8044167,2.013406944,14.92991771,72.8289638,18.99918013,72.86236799,19.22057712
239,265,2017Q1,6992.02,116.5336667,1.942227778,15.47707243,72.8289638,18.99918013,72.86236799,19.22057712
239,265,2017Q2,8084.595,134.74325,2.245720833,13.38545716,72.8289638,18.99918013,72.86236799,19.22057712
239,265,2017Q3,8668.795,144.4799167,2.407998611,12.4833959,72.8289638,18.99918013,72.86236799,19.22057712
239,265,2017Q4,7667.37,127.7895,2.129825,14.11383564,72.8289638,18.99918013,72.86236799,19.22057712
239,265,2018Q1,7270.345,121.1724167,2.019540278,14.88457563,72.8289638,18.99918013,72.86236799,19.22057712
239,265,2018Q2,7603.475,126.7245833,2.112076389,14.23243977,72.8289638,18.99918013,72.86236799,19.22057712
239,265,2018Q3,7881.725,131.3620833,2.189368056,13.72998931,72.8289638,18.99918013,72.86236799,19.22057712
239,265,2018Q4,6578.98,109.6496667,1.827494444,16.44875041,72.8289638,18.99918013,72.86236799,19.22057712
239,403,2016Q1,5637.935,93.96558333,1.566093056,14.7245401,72.8289638,18.99918013,72.83397494,19.13399766
239,403,2016Q2,5891.17,98.18616667,1.636436111,14.0915981,72.8289638,18.99918013,72.83397494,19.13399766
239,403,2016Q3,6469.265,107.8210833,1.797018056,12.83236967,72.8289638,18.99918013,72.83397494,19.13399766
239,403,2016Q4,5808.12,96.802,1.613366667,14.29309312,72.8289638,18.99918013,72.83397494,19.13399766
239,403,2017Q1,5623,93.71666667,1.561944444,14.7636493,72.8289638,18.99918013,72.83397494,19.13399766
239,403,2017Q2,5550.39,92.5065,1.541775,14.95678682,72.8289638,18.99918013,72.83397494,19.13399766
239,403,2017Q3,5754.895,95.91491667,1.598581944,14.42528491,72.8289638,18.99918013,72.83397494,19.13399766
239,403,2017Q4,5862.755,97.71258333,1.628543056,14.15989582,72.8289638,18.99918013,72.83397494,19.13399766
239,403,2018Q1,5435.215,90.58691667,1.509781944,15.27372882,72.8289638,18.99918013,72.83397494,19.13399766
239,403,2018Q2,5208.64,86.81066667,1.446844444,15.93813356,72.8289638,18.99918013,72.83397494,19.13399766
239,403,2018Q3,5791.625,96.52708333,1.608784722,14.33380096,72.8289638,18.99918013,72.83397494,19.13399766
239,403,2018Q4,5148.135,85.80225,1.4300375,16.12545126,72.8289638,18.99918013,72.83397494,19.13399766
239,577,2016Q1,2614.255,43.57091667,0.726181944,13.2335981,72.8289638,18.99918013,72.82171334,18.93477731
239,577,2016Q2,2405.84,40.09733333,0.668288889,14.38000865,72.8289638,18.99918013,72.82171334,18.93477731
239,577,2016Q3,2836.045,47.26741667,0.787790278,12.19867809,72.8289638,18.99918013,72.82171334,18.93477731
239,577,2016Q4,2680.055,44.66758333,0.744459722,12.90869031,72.8289638,18.99918013,72.82171334,18.93477731
239,577,2017Q1,2469.47,41.15783333,0.685963889,14.00948382,72.8289638,18.99918013,72.82171334,18.93477731
239,577,2017Q2,2463.77,41.06283333,0.684380556,14.04189514,72.8289638,18.99918013,72.82171334,18.93477731
239,577,2017Q3,2698.22,44.97033333,0.749505556,12.82178621,72.8289638,18.99918013,72.82171334,18.93477731
239,577,2017Q4,2748.295,45.80491667,0.763415278,12.5881683,72.8289638,18.99918013,72.82171334,18.93477731
239,577,2018Q1,2578.66,42.97766667,0.716294444,13.41627047,72.8289638,18.99918013,72.82171334,18.93477731
239,577,2018Q2,2498.945,41.64908333,0.694151389,13.84424227,72.8289638,18.99918013,72.82171334,18.93477731
239,577,2018Q3,3159.17,52.65283333,0.877547222,10.95097763,72.8289638,18.99918013,72.82171334,18.93477731
239,577,2018Q4,3129.835,52.16391667,0.869398611,11.05361784,72.8289638,18.99918013,72.82171334,18.93477731
239,598,2016Q1,3564.715,59.41191667,0.990198611,12.27026565,72.8289638,18.99918013,72.89194254,19.04435159
239,598,2016Q2,3294.29,54.90483333,0.915080556,13.27751959,72.8289638,18.99918013,72.89194254,19.04435159
239,598,2016Q3,4102.375,68.37291667,1.139548611,10.66211646,72.8289638,18.99918013,72.89194254,19.04435159
239,598,2016Q4,3478.655,57.97758333,0.966293056,12.57382523,72.8289638,18.99918013,72.89194254,19.04435159
239,598,2017Q1,3385.58,56.42633333,0.940438889,12.91949976,72.8289638,18.99918013,72.89194254,19.04435159
239,598,2017Q2,3221.165,53.68608333,0.894768056,13.57893806,72.8289638,18.99918013,72.89194254,19.04435159
239,598,2017Q3,3622.01,60.36683333,1.006113889,12.07616765,72.8289638,18.99918013,72.89194254,19.04435159
239,598,2017Q4,3487.185,58.11975,0.9686625,12.54306841,72.8289638,18.99918013,72.89194254,19.04435159
239,598,2018Q1,3429.95,57.16583333,0.952763889,12.75237248,72.8289638,18.99918013,72.89194254,19.04435159
239,598,2018Q2,3311.985,55.19975,0.919995833,13.20658155,72.8289638,18.99918013,72.89194254,19.04435159
239,598,2018Q3,4094.405,68.24008333,1.137334722,10.68287089,72.8289638,18.99918013,72.89194254,19.04435159
239,598,2018Q4,3962.335,66.03891667,1.100648611,11.03894547,72.8289638,18.99918013,72.89194254,19.04435159
