sourceid,dstid,time_period,average_travel_time,average_travel_time (in minutes),average_travel_time (in hours),average_speed (D/T),lng_o,lat_o,lng_d,lat_d
350,265,2016Q1,573.045,9.55075,0.159179167,29.96623302,72.85771546,19.18524032,72.86236799,19.22057712
350,265,2016Q2,610.145,10.16908333,0.169484722,28.14412967,72.85771546,19.18524032,72.86236799,19.22057712
350,265,2016Q3,690.225,11.50375,0.191729167,24.87884386,72.85771546,19.18524032,72.86236799,19.22057712
350,265,2016Q4,1004.615,16.74358333,0.279059722,17.09311527,72.85771546,19.18524032,72.86236799,19.22057712
350,265,2017Q1,1021.86,17.031,0.28385,16.80465034,72.85771546,19.18524032,72.86236799,19.22057712
350,265,2017Q2,1135.84,18.93066667,0.315511111,15.11832652,72.85771546,19.18524032,72.86236799,19.22057712
350,265,2017Q3,1243.145,20.71908333,0.345318056,13.81335242,72.85771546,19.18524032,72.86236799,19.22057712
350,265,2017Q4,1232.97,20.5495,0.342491667,13.92734616,72.85771546,19.18524032,72.86236799,19.22057712
350,265,2018Q1,1284.09,21.4015,0.356691667,13.37289442,72.85771546,19.18524032,72.86236799,19.22057712
350,265,2018Q2,1174.175,19.56958333,0.326159722,14.62473652,72.85771546,19.18524032,72.86236799,19.22057712
350,265,2018Q3,1314.43,21.90716667,0.365119444,13.06421795,72.85771546,19.18524032,72.86236799,19.22057712
350,265,2018Q4,1130.535,18.84225,0.3140375,15.1892688,72.85771546,19.18524032,72.86236799,19.22057712
350,403,2016Q1,2322.14,38.70233333,0.645038889,12.65040006,72.85771546,19.18524032,72.83397494,19.13399766
350,403,2016Q2,2244.97,37.41616667,0.623602778,13.08525281,72.85771546,19.18524032,72.83397494,19.13399766
350,403,2016Q3,2505.08,41.75133333,0.695855556,11.72657161,72.85771546,19.18524032,72.83397494,19.13399766
350,403,2016Q4,2572.9,42.88166667,0.714694444,11.41746667,72.85771546,19.18524032,72.83397494,19.13399766
350,403,2017Q1,2503.6,41.72666667,0.695444444,11.73350375,72.85771546,19.18524032,72.83397494,19.13399766
350,403,2017Q2,2281.21,38.02016667,0.633669444,12.87737648,72.85771546,19.18524032,72.83397494,19.13399766
350,403,2017Q3,2572.435,42.87391667,0.714565278,11.41953052,72.85771546,19.18524032,72.83397494,19.13399766
350,403,2017Q4,2127.255,35.45425,0.590904167,13.80934585,72.85771546,19.18524032,72.83397494,19.13399766
350,403,2018Q1,2003.75,33.39583333,0.556597222,14.66051154,72.85771546,19.18524032,72.83397494,19.13399766
350,403,2018Q2,1838.545,30.64241667,0.510706944,15.97785205,72.85771546,19.18524032,72.83397494,19.13399766
350,403,2018Q3,2079.895,34.66491667,0.577748611,14.1237899,72.85771546,19.18524032,72.83397494,19.13399766
350,403,2018Q4,1953.14,32.55233333,0.542538889,15.04039649,72.85771546,19.18524032,72.83397494,19.13399766
350,577,2016Q1,4313.855,71.89758333,1.198293056,27.98146901,72.85771546,19.18524032,72.82171334,18.93477731
350,577,2016Q2,4133.72,68.89533333,1.148255556,29.2008167,72.85771546,19.18524032,72.82171334,18.93477731
350,577,2016Q3,4695.61,78.26016667,1.304336111,25.70656422,72.85771546,19.18524032,72.82171334,18.93477731
350,577,2016Q4,5050.9,84.18166667,1.403027778,23.89831515,72.85771546,19.18524032,72.82171334,18.93477731
350,577,2017Q1,4561.635,76.02725,1.267120833,26.46156477,72.85771546,19.18524032,72.82171334,18.93477731
350,577,2017Q2,4583.425,76.39041667,1.273173611,26.33576419,72.85771546,19.18524032,72.82171334,18.93477731
350,577,2017Q3,4764.12,79.402,1.323366667,25.33689328,72.85771546,19.18524032,72.82171334,18.93477731
350,577,2017Q4,4686.63,78.1105,1.301841667,25.75582028,72.85771546,19.18524032,72.82171334,18.93477731
350,577,2018Q1,4425.26,73.75433333,1.229238889,27.27704135,72.85771546,19.18524032,72.82171334,18.93477731
350,577,2018Q2,4477.95,74.6325,1.243875,26.95608482,72.85771546,19.18524032,72.82171334,18.93477731
350,577,2018Q3,5028.87,83.8145,1.396908333,24.00300664,72.85771546,19.18524032,72.82171334,18.93477731
350,577,2018Q4,4861.43,81.02383333,1.350397222,24.82973117,72.85771546,19.18524032,72.82171334,18.93477731
350,598,2016Q1,3869.635,64.49391667,1.074898611,22.07650076,72.85771546,19.18524032,72.89194254,19.04435159
350,598,2016Q2,4103.735,68.39558333,1.139926389,20.81713366,72.85771546,19.18524032,72.89194254,19.04435159
350,598,2016Q3,4918.13,81.96883333,1.366147222,17.37001665,72.85771546,19.18524032,72.89194254,19.04435159
350,598,2016Q4,4501.415,75.02358333,1.250393056,18.97803246,72.85771546,19.18524032,72.89194254,19.04435159
350,598,2017Q1,4452.01,74.20016667,1.236669444,19.18863614,72.85771546,19.18524032,72.89194254,19.04435159
350,598,2017Q2,4248.12,70.802,1.180033333,20.10960142,72.85771546,19.18524032,72.89194254,19.04435159
350,598,2017Q3,4560.58,76.00966667,1.266827778,18.73182797,72.85771546,19.18524032,72.89194254,19.04435159
350,598,2017Q4,4536.775,75.61291667,1.260215278,18.83011611,72.85771546,19.18524032,72.89194254,19.04435159
350,598,2018Q1,4251.59,70.85983333,1.180997222,20.09318867,72.85771546,19.18524032,72.89194254,19.04435159
350,598,2018Q2,4247.495,70.79158333,1.179859722,20.11256046,72.85771546,19.18524032,72.89194254,19.04435159
350,598,2018Q3,4446.925,74.11541667,1.235256944,19.2105781,72.85771546,19.18524032,72.89194254,19.04435159
350,598,2018Q4,4289.535,71.49225,1.1915375,19.91544538,72.85771546,19.18524032,72.89194254,19.04435159
