sourceid,dstid,time_period,average_travel_time,average_travel_time (in minutes),average_travel_time (in hours),average_speed (D/T),lng_o,lat_o,lng_d,lat_d
382,265,2016Q1,7654.16,127.5693333,2.126155556,18.03254701,72.82177573,18.92790968,72.86236799,19.22057712
382,265,2016Q2,8381.85,139.6975,2.328291667,16.46700907,72.82177573,18.92790968,72.86236799,19.22057712
382,265,2016Q3,8670.39,144.5065,2.408441667,15.9190071,72.82177573,18.92790968,72.86236799,19.22057712
382,265,2016Q4,8085.425,134.7570833,2.245951389,17.07071675,72.82177573,18.92790968,72.86236799,19.22057712
382,265,2017Q1,7453.32,124.222,2.070366667,18.51845889,72.82177573,18.92790968,72.86236799,19.22057712
382,265,2017Q2,8644.025,144.0670833,2.401118056,15.96756141,72.82177573,18.92790968,72.86236799,19.22057712
382,265,2017Q3,9961.805,166.0300833,2.767168056,13.8553204,72.82177573,18.92790968,72.86236799,19.22057712
382,265,2017Q4,8678.99,144.6498333,2.410830556,15.90323298,72.82177573,18.92790968,72.86236799,19.22057712
382,265,2018Q1,8829.82,147.1636667,2.452727778,15.63157573,72.82177573,18.92790968,72.86236799,19.22057712
382,265,2018Q2,8486.395,141.4399167,2.357331944,16.26414985,72.82177573,18.92790968,72.86236799,19.22057712
382,265,2018Q3,8202.31,136.7051667,2.278419444,16.8274547,72.82177573,18.92790968,72.86236799,19.22057712
382,265,2018Q4,7484.92,124.7486667,2.079144444,18.44027725,72.82177573,18.92790968,72.86236799,19.22057712
382,403,2016Q1,6794.88,113.248,1.887466667,16.59896864,72.82177573,18.92790968,72.83397494,19.13399766
382,403,2016Q2,6594.37,109.9061667,1.831769444,17.10368087,72.82177573,18.92790968,72.83397494,19.13399766
382,403,2016Q3,7529.325,125.48875,2.091479167,14.97982887,72.82177573,18.92790968,72.83397494,19.13399766
382,403,2016Q4,6743.96,112.3993333,1.873322222,16.72429848,72.82177573,18.92790968,72.83397494,19.13399766
382,403,2017Q1,6391.225,106.5204167,1.775340278,17.64732113,72.82177573,18.92790968,72.83397494,19.13399766
382,403,2017Q2,6377.49,106.2915,1.771525,17.68532761,72.82177573,18.92790968,72.83397494,19.13399766
382,403,2017Q3,6892.315,114.8719167,1.914531944,16.36431301,72.82177573,18.92790968,72.83397494,19.13399766
382,403,2017Q4,6891.675,114.86125,1.914354167,16.36583269,72.82177573,18.92790968,72.83397494,19.13399766
382,403,2018Q1,6462.295,107.7049167,1.795081944,17.45324223,72.82177573,18.92790968,72.83397494,19.13399766
382,403,2018Q2,5999.695,99.99491667,1.666581944,18.79895561,72.82177573,18.92790968,72.83397494,19.13399766
382,403,2018Q3,6500.2,108.3366667,1.805611111,17.35146611,72.82177573,18.92790968,72.83397494,19.13399766
382,403,2018Q4,6302.655,105.04425,1.7507375,17.89531555,72.82177573,18.92790968,72.83397494,19.13399766
382,577,2016Q1,393.465,6.55775,0.109295833,8.600510846,72.82177573,18.92790968,72.82171334,18.93477731
382,577,2016Q2,357.105,5.95175,0.099195833,9.476204478,72.82177573,18.92790968,72.82171334,18.93477731
382,577,2016Q3,358.635,5.97725,0.099620833,9.435777322,72.82177573,18.92790968,72.82171334,18.93477731
382,577,2016Q4,317.345,5.289083333,0.088151389,10.66347351,72.82177573,18.92790968,72.82171334,18.93477731
382,577,2017Q1,310.335,5.17225,0.086204167,10.9043453,72.82177573,18.92790968,72.82171334,18.93477731
382,577,2017Q2,325.27,5.421166667,0.090352778,10.40366465,72.82177573,18.92790968,72.82171334,18.93477731
382,577,2017Q3,355.505,5.925083333,0.098751389,9.518853462,72.82177573,18.92790968,72.82171334,18.93477731
382,577,2017Q4,367.81,6.130166667,0.102169444,9.200402382,72.82177573,18.92790968,72.82171334,18.93477731
382,577,2018Q1,373.19,6.219833333,0.103663889,9.067767089,72.82177573,18.92790968,72.82171334,18.93477731
382,577,2018Q2,379.205,6.320083333,0.105334722,8.923932965,72.82177573,18.92790968,72.82171334,18.93477731
382,577,2018Q3,356.525,5.942083333,0.099034722,9.491620503,72.82177573,18.92790968,72.82171334,18.93477731
382,577,2018Q4,374.665,6.244416667,0.104073611,9.032068648,72.82177573,18.92790968,72.82171334,18.93477731
382,598,2016Q1,3757.42,62.62366667,1.043727778,18.45308749,72.82177573,18.92790968,72.89194254,19.04435159
382,598,2016Q2,3566.575,59.44291667,0.990715278,19.44049964,72.82177573,18.92790968,72.89194254,19.04435159
382,598,2016Q3,3864.425,64.40708333,1.073451389,17.94212593,72.82177573,18.92790968,72.89194254,19.04435159
382,598,2016Q4,3318.685,55.31141667,0.921856944,20.89261259,72.82177573,18.92790968,72.89194254,19.04435159
382,598,2017Q1,3304.185,55.06975,0.917829167,20.98429719,72.82177573,18.92790968,72.89194254,19.04435159
382,598,2017Q2,3441.445,57.35741667,0.955956944,20.14735089,72.82177573,18.92790968,72.89194254,19.04435159
382,598,2017Q3,3892.695,64.87825,1.081304167,17.81182446,72.82177573,18.92790968,72.89194254,19.04435159
382,598,2017Q4,3772.65,62.8775,1.047958333,18.3785933,72.82177573,18.92790968,72.89194254,19.04435159
382,598,2018Q1,3702.66,61.711,1.028516667,18.72599699,72.82177573,18.92790968,72.89194254,19.04435159
382,598,2018Q2,3701.47,61.69116667,1.028186111,18.73201728,72.82177573,18.92790968,72.89194254,19.04435159
382,598,2018Q3,3825.045,63.75075,1.0625125,18.12684557,72.82177573,18.92790968,72.89194254,19.04435159
382,598,2018Q4,3979.195,66.31991667,1.105331944,17.42462986,72.82177573,18.92790968,72.89194254,19.04435159
