sourceid,dstid,time_period,average_travel_time,average_travel_time (in minutes),average_travel_time (in hours),average_speed (D/T),lng_o,lat_o,lng_d,lat_d
265,357,2016Q1,2293.835,38.23058333,0.637176389,21.73652421,72.86236799,19.22057712,72.86083749,19.11556493
265,357,2016Q2,2443.875,40.73125,0.678854167,20.40202547,72.86236799,19.22057712,72.86083749,19.11556493
265,357,2016Q3,3047.475,50.79125,0.846520833,16.36108582,72.86236799,19.22057712,72.86083749,19.11556493
265,357,2016Q4,2406.24,40.104,0.6684,20.72112507,72.86236799,19.22057712,72.86083749,19.11556493
265,357,2017Q1,2725.225,45.42041667,0.757006944,18.29573705,72.86236799,19.22057712,72.86083749,19.11556493
265,357,2017Q2,2681.37,44.6895,0.744825,18.59497197,72.86236799,19.22057712,72.86083749,19.11556493
265,357,2017Q3,3434.63,57.24383333,0.954063889,14.51684752,72.86236799,19.22057712,72.86083749,19.11556493
265,357,2017Q4,3258.465,54.30775,0.905129167,15.30168346,72.86236799,19.22057712,72.86083749,19.11556493
265,357,2018Q1,2785.01,46.41683333,0.773613889,17.90298778,72.86236799,19.22057712,72.86083749,19.11556493
265,357,2018Q2,2804.4,46.74,0.779,17.77920411,72.86236799,19.22057712,72.86083749,19.11556493
265,357,2018Q3,3151.585,52.52641667,0.875440278,15.8206109,72.86236799,19.22057712,72.86083749,19.11556493
265,357,2018Q4,2349.19,39.15316667,0.652552778,21.2243369,72.86236799,19.22057712,72.86083749,19.11556493
403,357,2016Q1,1559.635,25.99391667,0.433231944,12.41829018,72.83397494,19.13399766,72.86083749,19.11556493
403,357,2016Q2,1598.37,26.6395,0.443991667,12.11734454,72.83397494,19.13399766,72.86083749,19.11556493
403,357,2016Q3,1797.335,29.95558333,0.499259722,10.7759544,72.83397494,19.13399766,72.86083749,19.11556493
403,357,2016Q4,1534.9,25.58166667,0.426361111,12.61841162,72.83397494,19.13399766,72.86083749,19.11556493
403,357,2017Q1,1604.485,26.74141667,0.445690278,12.07116302,72.83397494,19.13399766,72.86083749,19.11556493
403,357,2017Q2,1676.76,27.946,0.465766667,11.55084806,72.83397494,19.13399766,72.86083749,19.11556493
403,357,2017Q3,1711.63,28.52716667,0.475452778,11.31552964,72.83397494,19.13399766,72.86083749,19.11556493
403,357,2017Q4,1730.76,28.846,0.480766667,11.19045968,72.83397494,19.13399766,72.86083749,19.11556493
403,357,2018Q1,1748.72,29.14533333,0.485755556,11.07552953,72.83397494,19.13399766,72.86083749,19.11556493
403,357,2018Q2,1678.91,27.98183333,0.466363889,11.53605613,72.83397494,19.13399766,72.86083749,19.11556493
403,357,2018Q3,1775.2,29.58666667,0.493111111,10.91031996,72.83397494,19.13399766,72.86083749,19.11556493
403,357,2018Q4,1565.655,26.09425,0.434904167,12.3705414,72.83397494,19.13399766,72.86083749,19.11556493
577,357,2016Q1,2808.23,46.80383333,0.780063889,33.80492339,72.82171334,18.93477731,72.86083749,19.11556493
577,357,2016Q2,2732.925,45.54875,0.759145833,34.73640879,72.82171334,18.93477731,72.86083749,19.11556493
577,357,2016Q3,3155.45,52.59083333,0.876513889,30.08509087,72.82171334,18.93477731,72.86083749,19.11556493
577,357,2016Q4,2715.82,45.26366667,0.754394444,34.95518849,72.82171334,18.93477731,72.86083749,19.11556493
577,357,2017Q1,2718.255,45.30425,0.755070833,34.9238758,72.82171334,18.93477731,72.86083749,19.11556493
577,357,2017Q2,2806.885,46.78141667,0.779690278,33.82112199,72.82171334,18.93477731,72.86083749,19.11556493
577,357,2017Q3,3005.405,50.09008333,0.834834722,31.58709059,72.82171334,18.93477731,72.86083749,19.11556493
577,357,2017Q4,2848.22,47.47033333,0.791172222,33.3302905,72.82171334,18.93477731,72.86083749,19.11556493
577,357,2018Q1,2945.18,49.08633333,0.818105556,32.23300443,72.82171334,18.93477731,72.86083749,19.11556493
577,357,2018Q2,2913.585,48.55975,0.809329167,32.58254007,72.82171334,18.93477731,72.86083749,19.11556493
577,357,2018Q3,3102.76,51.71266667,0.861877778,30.59598551,72.82171334,18.93477731,72.86083749,19.11556493
577,357,2018Q4,2834.505,47.24175,0.7873625,33.49156202,72.82171334,18.93477731,72.86083749,19.11556493
598,357,2016Q1,3024.895,50.41491667,0.840248611,17.68524197,72.89194254,19.04435159,72.86083749,19.11556493
598,357,2016Q2,3056.05,50.93416667,0.848902778,17.5049492,72.89194254,19.04435159,72.86083749,19.11556493
598,357,2016Q3,3292.43,54.87383333,0.914563889,16.24818143,72.89194254,19.04435159,72.86083749,19.11556493
598,357,2016Q4,2826.365,47.10608333,0.785101389,18.92749167,72.89194254,19.04435159,72.86083749,19.11556493
598,357,2017Q1,2938.33,48.97216667,0.816202778,18.20626002,72.89194254,19.04435159,72.86083749,19.11556493
598,357,2017Q2,2986.205,49.77008333,0.829501389,17.91437627,72.89194254,19.04435159,72.86083749,19.11556493
598,357,2017Q3,3359.66,55.99433333,0.933238889,15.92303983,72.89194254,19.04435159,72.86083749,19.11556493
598,357,2017Q4,3336.02,55.60033333,0.926672222,16.03587508,72.89194254,19.04435159,72.86083749,19.11556493
598,357,2018Q1,3263.895,54.39825,0.9066375,16.39023314,72.89194254,19.04435159,72.86083749,19.11556493
598,357,2018Q2,3232.095,53.86825,0.897804167,16.55149369,72.89194254,19.04435159,72.86083749,19.11556493
598,357,2018Q3,3408.4,56.80666667,0.946777778,15.69534092,72.89194254,19.04435159,72.86083749,19.11556493
598,357,2018Q4,3076.615,51.27691667,0.854615278,17.38794097,72.89194254,19.04435159,72.86083749,19.11556493
