sourceid,dstid,time_period,average_travel_time,average_travel_time (in minutes),average_travel_time (in hours),average_speed (D/T),lng_o,lat_o,lng_d,lat_d
265,382,2016Q1,6222.63,103.7105,1.728508333,22.31982297,72.86236799,19.22057712,72.82177573,18.92790968
265,382,2016Q2,6035.355,100.58925,1.6764875,23.01239944,72.86236799,19.22057712,72.82177573,18.92790968
265,382,2016Q3,7298.945,121.6490833,2.027484722,19.02850343,72.86236799,19.22057712,72.82177573,18.92790968
265,382,2016Q4,6363.99,106.0665,1.767775,21.82404435,72.86236799,19.22057712,72.82177573,18.92790968
265,382,2017Q1,6799.285,113.3214167,1.888690278,20.42685371,72.86236799,19.22057712,72.82177573,18.92790968
265,382,2017Q2,6406.81,106.7801667,1.779669444,21.67818306,72.86236799,19.22057712,72.82177573,18.92790968
265,382,2017Q3,7994.285,133.2380833,2.220634722,17.37341113,72.86236799,19.22057712,72.82177573,18.92790968
265,382,2017Q4,7305.37,121.7561667,2.029269444,19.01176806,72.86236799,19.22057712,72.82177573,18.92790968
265,382,2018Q1,6606.2,110.1033333,1.835055556,21.02388665,72.86236799,19.22057712,72.82177573,18.92790968
265,382,2018Q2,6811.45,113.5241667,1.892069444,20.39037209,72.86236799,19.22057712,72.82177573,18.92790968
265,382,2018Q3,7836.34,130.6056667,2.176761111,17.72358014,72.86236799,19.22057712,72.82177573,18.92790968
265,382,2018Q4,6282.26,104.7043333,1.745072222,22.10796751,72.86236799,19.22057712,72.82177573,18.92790968
403,382,2016Q1,5402.67,90.0445,1.500741667,20.46321541,72.83397494,19.13399766,72.82177573,18.92790968
403,382,2016Q2,4853.725,80.89541667,1.348256944,22.77755744,72.83397494,19.13399766,72.82177573,18.92790968
403,382,2016Q3,5884.07,98.06783333,1.634463889,18.78903548,72.83397494,19.13399766,72.82177573,18.92790968
403,382,2016Q4,5169.835,86.16391667,1.436065278,21.38482176,72.83397494,19.13399766,72.82177573,18.92790968
403,382,2017Q1,5392.69,89.87816667,1.497969444,20.50108573,72.83397494,19.13399766,72.82177573,18.92790968
403,382,2017Q2,5360.21,89.33683333,1.488947222,20.62531132,72.83397494,19.13399766,72.82177573,18.92790968
403,382,2017Q3,5828.565,97.14275,1.619045833,18.9679621,72.83397494,19.13399766,72.82177573,18.92790968
403,382,2017Q4,5563.04,92.71733333,1.545288889,19.87330668,72.83397494,19.13399766,72.82177573,18.92790968
403,382,2018Q1,5641.23,94.0205,1.567008333,19.59785366,72.83397494,19.13399766,72.82177573,18.92790968
403,382,2018Q2,5434.795,90.57991667,1.509665278,20.34225762,72.83397494,19.13399766,72.82177573,18.92790968
403,382,2018Q3,6345.01,105.7501667,1.762502778,17.42408601,72.83397494,19.13399766,72.82177573,18.92790968
403,382,2018Q4,5492.855,91.54758333,1.525793056,20.12723802,72.83397494,19.13399766,72.82177573,18.92790968
577,382,2016Q1,162.435,2.70725,0.045120833,30.3629144,72.82171334,18.93477731,72.82177573,18.92790968
577,382,2016Q2,161.46,2.691,0.04485,30.54626533,72.82171334,18.93477731,72.82177573,18.92790968
577,382,2016Q3,180.915,3.01525,0.050254167,27.26142111,72.82171334,18.93477731,72.82177573,18.92790968
577,382,2016Q4,168.945,2.81575,0.046929167,29.19293261,72.82171334,18.93477731,72.82177573,18.92790968
577,382,2017Q1,175.785,2.92975,0.048829167,28.05700145,72.82171334,18.93477731,72.82177573,18.92790968
577,382,2017Q2,175.885,2.931416667,0.048856944,28.04104955,72.82171334,18.93477731,72.82177573,18.92790968
577,382,2017Q3,188.335,3.138916667,0.052315278,26.18737887,72.82171334,18.93477731,72.82177573,18.92790968
577,382,2017Q4,184.505,3.075083333,0.051251389,26.7309829,72.82171334,18.93477731,72.82177573,18.92790968
577,382,2018Q1,182.52,3.042,0.0507,27.02169625,72.82171334,18.93477731,72.82177573,18.92790968
577,382,2018Q2,184.33,3.072166667,0.051202778,26.75636087,72.82171334,18.93477731,72.82177573,18.92790968
577,382,2018Q3,189.94,3.165666667,0.052761111,25.96609456,72.82171334,18.93477731,72.82177573,18.92790968
577,382,2018Q4,181.87,3.031166667,0.050519444,27.11827129,72.82171334,18.93477731,72.82177573,18.92790968
598,382,2016Q1,2496.68,41.61133333,0.693522222,26.17075476,72.89194254,19.04435159,72.82177573,18.92790968
598,382,2016Q2,2406.05,40.10083333,0.668347222,27.15654288,72.89194254,19.04435159,72.82177573,18.92790968
598,382,2016Q3,2684.33,44.73883333,0.745647222,24.34126952,72.89194254,19.04435159,72.82177573,18.92790968
598,382,2016Q4,2613.405,43.55675,0.725945833,25.00186538,72.89194254,19.04435159,72.82177573,18.92790968
598,382,2017Q1,2671.68,44.528,0.742133333,24.45652174,72.89194254,19.04435159,72.82177573,18.92790968
598,382,2017Q2,2733.84,45.564,0.7594,23.90044772,72.89194254,19.04435159,72.82177573,18.92790968
598,382,2017Q3,2949.09,49.1515,0.819191667,22.1559871,72.89194254,19.04435159,72.82177573,18.92790968
598,382,2017Q4,2795.325,46.58875,0.776479167,23.37474176,72.89194254,19.04435159,72.82177573,18.92790968
598,382,2018Q1,2786.28,46.438,0.773966667,23.45062234,72.89194254,19.04435159,72.82177573,18.92790968
598,382,2018Q2,2773.78,46.22966667,0.770494444,23.55630223,72.89194254,19.04435159,72.82177573,18.92790968
598,382,2018Q3,3081.155,51.35258333,0.855876389,21.20633334,72.89194254,19.04435159,72.82177573,18.92790968
598,382,2018Q4,2960.9,49.34833333,0.822472222,22.06761458,72.89194254,19.04435159,72.82177573,18.92790968
