sourceid,dstid,Time Period,AM Peak Hours (in seconds),PM Peak Hours (in seconds),Flow-Flow Hours (in seconds),Travel Time Index
265,357,2016Q1,2293.835,,782.5575,2.931203138
265,357,2016Q2,2443.875,,765.1125,3.194138117
265,357,2016Q3,3047.475,,861.405,3.53779581
265,357,2016Q4,2406.24,,813.9875,2.956114191
265,357,2017Q1,2725.225,,766.3375,3.556168137
265,357,2017Q2,2681.37,,788.0325,3.402613471
265,357,2017Q3,3434.63,,841.105,4.083473526
265,357,2017Q4,3258.465,,829.0425,3.930395607
265,357,2018Q1,2785.01,,812.4275,3.428010499
265,357,2018Q2,2804.4,,850.215,3.298459801
265,357,2018Q3,3151.585,,879.695,3.582588283
265,357,2018Q4,2349.19,,844.795,2.780781136
403,357,2016Q1,1559.635,,1119.4575,1.393206084
403,357,2016Q2,1598.37,,1144.94,1.396029486
403,357,2016Q3,1797.335,,1081.7175,1.661556737
403,357,2016Q4,1534.9,,997.7975,1.538288079
403,357,2017Q1,1604.485,,947.67,1.69308409
403,357,2017Q2,1676.76,,984.945,1.702389474
403,357,2017Q3,1711.63,,989.5825,1.729648614
403,357,2017Q4,1730.76,,953.005,1.816107995
403,357,2018Q1,1748.72,,924.47,1.891591939
403,357,2018Q2,1678.91,,973.685,1.724284548
403,357,2018Q3,1775.2,,971.37,1.827521954
403,357,2018Q4,1565.655,,992.3525,1.577720618
577,357,2016Q1,2808.23,,2237.135,1.255279632
577,357,2016Q2,2732.925,,2110.35,1.295010306
577,357,2016Q3,3155.45,,2041.425,1.545709492
577,357,2016Q4,2715.82,,1957.7825,1.387191887
577,357,2017Q1,2718.255,,1874.72,1.449952526
577,357,2017Q2,2806.885,,1943.2,1.444465315
577,357,2017Q3,3005.405,,1886.625,1.593006029
577,357,2017Q4,2848.22,,1890.02,1.506978762
577,357,2018Q1,2945.18,,1949.815,1.510492021
577,357,2018Q2,2913.585,,1906.8975,1.527919041
577,357,2018Q3,3102.76,,1951.545,1.589899285
577,357,2018Q4,2834.505,,1934.1525,1.465502332
598,357,2016Q1,3024.895,,1546.44,1.956037738
598,357,2016Q2,3056.05,,1616.11,1.890991331
598,357,2016Q3,3292.43,,1523.835,2.160621065
598,357,2016Q4,2826.365,,1604.416667,1.761615333
598,357,2017Q1,2938.33,,1440.536667,2.039746761
598,357,2017Q2,2986.205,,1548.9125,1.927936536
598,357,2017Q3,3359.66,,1449.8975,2.317170697
598,357,2017Q4,3336.02,,1501.03,2.222487225
598,357,2018Q1,3263.895,,1483.0875,2.200743382
598,357,2018Q2,3232.095,,1556.07,2.077088434
598,357,2018Q3,3408.4,,1648.3425,2.067774143
598,357,2018Q4,3076.615,,1655.3175,1.858625309
357,265,2016Q1,,2760.36,805.57,3.426592351
357,265,2016Q2,,3051.96,809.5125,3.770120906
357,265,2016Q3,,4029.215,842.455,4.782706495
357,265,2016Q4,,3708.345,822.7275,4.507379418
357,265,2017Q1,,3160.24,787.5625,4.012684708
357,265,2017Q2,,4042.74,904.675,4.468720811
357,265,2017Q3,,4642.945,935.2425,4.964429012
357,265,2017Q4,,4249.085,1008.4625,4.213428858
357,265,2018Q1,,4355.585,941.9875,4.623824626
357,265,2018Q2,,4185.55,990.295,4.226568851
357,265,2018Q3,,4404.93,1101.0375,4.000708423
357,265,2018Q4,,3704.32,1102.02,3.3613909
357,403,2016Q1,,2269.41,936.115,2.424285478
357,403,2016Q2,,2184.89,1018.8925,2.144377351
357,403,2016Q3,,2543.375,900.615,2.82404246
357,403,2016Q4,,2303.555,838.805,2.746234226
357,403,2017Q1,,2206.43,815.9125,2.704248311
357,403,2017Q2,,2372.99,857.845,2.766222336
357,403,2017Q3,,2581.29,790.59,3.265017266
357,403,2017Q4,,2639.315,781.1275,3.378853004
357,403,2018Q1,,2368.73,816.305,2.901770784
357,403,2018Q2,,2205.3,837.865,2.632046929
357,403,2018Q3,,2369.35,843.6775,2.808359829
357,403,2018Q4,,2228.505,857.8325,2.597832327
357,577,2016Q1,,3712.665,1966.505,1.887950959
357,577,2016Q2,,3638.78,1942.0975,1.873634048
357,577,2016Q3,,3861.27,2049.495,1.884010451
357,577,2016Q4,,4002.36,1906.5625,2.099254548
357,577,2017Q1,,3724.04,1885.5675,1.975023435
357,577,2017Q2,,3754.925,2009.7275,1.86837519
357,577,2017Q3,,3944.28,1893.1575,2.083439967
357,577,2017Q4,,4000.725,1924.7775,2.078538948
357,577,2018Q1,,3879.33,1944.6875,1.994834646
357,577,2018Q2,,3871.7,2043.3175,1.894810767
357,577,2018Q3,,4145.28,2000.4175,2.072207427
357,577,2018Q4,,4221.02,2012.51,2.09739082
357,598,2016Q1,,3508.46,1522.016667,2.305139015
357,598,2016Q2,,3320.725,1375.5325,2.414137798
357,598,2016Q3,,4182.07,1739.3725,2.404355594
357,598,2016Q4,,3585.37,1427.8225,2.511075431
357,598,2017Q1,,3497.84,1451.535,2.409752434
357,598,2017Q2,,3435.19,1531.6725,2.242770566
357,598,2017Q3,,3838.265,1428.85,2.686261679
357,598,2017Q4,,3796.975,1423.6725,2.667028407
357,598,2018Q1,,3440.375,1507.7075,2.281858384
357,598,2018Q2,,3437.48,1414.4275,2.430297771
357,598,2018Q3,,4016.775,1467.5625,2.737038457
357,598,2018Q4,,3559.045,1493.7575,2.382612305
