sourceid,dstid,Time Period,AM Peak Hours (in seconds),PM Peak Hours (in seconds),Flow-Flow Hours (in seconds),Travel Time Index (Peak/Free Flow)
265,239,2016Q1,4996.1,,1808.45,2.762642042
265,239,2016Q2,5144.425,,1893.555,2.716807803
265,239,2016Q3,6191.195,,1971.1675,3.140877171
265,239,2016Q4,5207.53,,1855.7675,2.806132773
265,239,2017Q1,5720.47,,1750.8175,3.267313698
265,239,2017Q2,5630.665,,1895.59,2.970402355
265,239,2017Q3,6469.055,,2054.6525,3.148491047
265,239,2017Q4,5968.48,,1886.38,3.163986047
265,239,2018Q1,5567.835,,2048.1325,2.718493554
265,239,2018Q2,5746.695,,1901.755,3.021785141
265,239,2018Q3,6334.195,,2046.91,3.094515636
265,239,2018Q4,5064.58,,2006.5525,2.524020677
403,239,2016Q1,4079.645,,1936.103333,2.107142181
403,239,2016Q2,4023.815,,1900.856667,2.116842932
403,239,2016Q3,4670.01,,2051.52,2.276365817
403,239,2016Q4,4275.955,,1857.205,2.302360267
403,239,2017Q1,4407.32,,1805.83,2.440606259
403,239,2017Q2,4269.11,,1894.4,2.253542019
403,239,2017Q3,4726.665,,1895.0575,2.49420664
403,239,2017Q4,4381.465,,1874.03,2.337990854
403,239,2018Q1,4554.73,,2003.155,2.273778115
403,239,2018Q2,4459.005,,1883.7775,2.367055026
403,239,2018Q3,4742.54,,1924.89,2.463797931
403,239,2018Q4,4465.76,,1971.273333,2.265418968
577,239,2016Q1,1648.735,,1207.01,1.365966313
577,239,2016Q2,1659.01,,1312.783333,1.263734813
577,239,2016Q3,1817.48,,1213.63,1.497556916
577,239,2016Q4,1662.36,,1078.896667,1.540796307
577,239,2017Q1,1627.76,,1088.32,1.49566304
577,239,2017Q2,1624.78,,1063.225,1.52816196
577,239,2017Q3,1727.545,,1039.1775,1.662415709
577,239,2017Q4,1649.04,,1119.52,1.472988424
577,239,2018Q1,1599.68,,1043.7525,1.532623874
577,239,2018Q2,1671.9,,971.0225,1.721793264
577,239,2018Q3,1652.345,,1058.5775,1.560910751
577,239,2018Q4,1548.605,,971.6625,1.593768412
598,239,2016Q1,3352.225,,,#DIV/0!
598,239,2016Q2,3224.53,,,#DIV/0!
598,239,2016Q3,3541.135,,,#DIV/0!
598,239,2016Q4,3143.11,,1265.83,2.483042747
598,239,2017Q1,3303.665,,,#DIV/0!
598,239,2017Q2,3205.895,,,#DIV/0!
598,239,2017Q3,3581.2,,,#DIV/0!
598,239,2017Q4,3304.075,,1559.18,2.119110686
598,239,2018Q1,3332.955,,,#DIV/0!
598,239,2018Q2,3374.04,,,#DIV/0!
598,239,2018Q3,3639.06,,1342.83,2.709993074
598,239,2018Q4,3257.07,,,#DIV/0!
239,265,2016Q1,,6839.025,2222.645,3.076975855
239,265,2016Q2,,7351.985,2030.67,3.620472553
239,265,2016Q3,,8108.905,2081.4075,3.895875748
239,265,2016Q4,,7248.265,2093.305,3.462593841
239,265,2017Q1,,6992.02,2002.46,3.49171519
239,265,2017Q2,,8084.595,2172.39,3.721520998
239,265,2017Q3,,8668.795,2282.0675,3.798658453
239,265,2017Q4,,7667.37,2410.385,3.180973164
239,265,2018Q1,,7270.345,2307.1475,3.151226785
239,265,2018Q2,,7603.475,2360.5125,3.221111941
239,265,2018Q3,,7881.725,2543.3425,3.098963274
239,265,2018Q4,,6578.98,2507.49,2.623731301
239,403,2016Q1,,5637.935,2141.016667,2.633298044
239,403,2016Q2,,5891.17,1942.68,3.032496345
239,403,2016Q3,,6469.265,2015.6525,3.209514041
239,403,2016Q4,,5808.12,1929.93,3.009497754
239,403,2017Q1,,5623,1948.76,2.885424578
239,403,2017Q2,,5550.39,1956.145,2.83741236
239,403,2017Q3,,5754.895,1997.5275,2.881009148
239,403,2017Q4,,5862.755,2020.913333,2.901042268
239,403,2018Q1,,5435.215,1974.9725,2.752045915
239,403,2018Q2,,5208.64,1998.536667,2.606226889
239,403,2018Q3,,5791.625,2082.03,2.781720244
239,403,2018Q4,,5148.135,2078.23,2.477172883
239,577,2016Q1,,2614.255,1138.4425,2.296343469
239,577,2016Q2,,2405.84,1107.465,2.17238468
239,577,2016Q3,,2836.045,1174.2675,2.415160941
239,577,2016Q4,,2680.055,1199.785,2.233779385
239,577,2017Q1,,2469.47,1059.2525,2.331332709
239,577,2017Q2,,2463.77,1175.6525,2.095661771
239,577,2017Q3,,2698.22,1147.205,2.35199463
239,577,2017Q4,,2748.295,1114.2525,2.46649211
239,577,2018Q1,,2578.66,1133.4575,2.275038985
239,577,2018Q2,,2498.945,1028.31,2.430147524
239,577,2018Q3,,3159.17,1034.8575,3.052758472
239,577,2018Q4,,3129.835,1070.4975,2.923720046
239,598,2016Q1,,3564.715,,#DIV/0!
239,598,2016Q2,,3294.29,,#DIV/0!
239,598,2016Q3,,4102.375,1530.78,2.679924614
239,598,2016Q4,,3478.655,1300.33,2.67520937
239,598,2017Q1,,3385.58,1450.77,2.333643513
239,598,2017Q2,,3221.165,1299.375,2.479011063
239,598,2017Q3,,3622.01,1378.563333,2.627380195
239,598,2017Q4,,3487.185,1600.63,2.178632788
239,598,2018Q1,,3429.95,1335.77,2.567769901
239,598,2018Q2,,3311.985,1278.385,2.590757088
239,598,2018Q3,,4094.405,1419.87,2.883647799
239,598,2018Q4,,3962.335,1378.2,2.875007256
