sourceid,dstid,Time Period,AM Peak Hours (in seconds),PM Peak Hours (in seconds),Flow-Flow Hours (in seconds),Travel Time Index (Peak/Free Flow)
265,350,2016Q1,805.225,,349.1225,2.306425395
265,350,2016Q2,813.57,,344.74,2.359952428
265,350,2016Q3,1002.09,,375.5,2.668681758
265,350,2016Q4,639.44,,350.2725,1.825550107
265,350,2017Q1,726.62,,317.1125,2.291363475
265,350,2017Q2,813.1,,329.605,2.466892189
265,350,2017Q3,1585.78,,356.74,4.445198184
265,350,2017Q4,1179.675,,355.235,3.320829873
265,350,2018Q1,965.985,,341.4825,2.828797962
265,350,2018Q2,1069.455,,355.135,3.011404114
265,350,2018Q3,1185.33,,370.685,3.197674575
265,350,2018Q4,674.31,,358.985,1.878379319
403,350,2016Q1,1687.355,,1204.7,1.400643314
403,350,2016Q2,1559.435,,1282.1025,1.216310708
403,350,2016Q3,1458.42,,1155.6075,1.2620375
403,350,2016Q4,1360.31,,1065,1.277286385
403,350,2017Q1,1474.46,,1013.1825,1.455275826
403,350,2017Q2,1720.525,,1096.2275,1.569496295
403,350,2017Q3,1612.695,,1188.835,1.356533918
403,350,2017Q4,1671.5,,1111.1,1.504365044
403,350,2018Q1,1637.435,,1083.3825,1.511409867
403,350,2018Q2,1576.695,,1101.005,1.432050717
403,350,2018Q3,1591.62,,1146.135,1.388684579
403,350,2018Q4,1448.28,,1072.4675,1.350418544
577,350,2016Q1,3457.77,,2668.595,1.295726778
577,350,2016Q2,3500.265,,2719.5,1.287098731
577,350,2016Q3,3606.17,,2618.4975,1.377190545
577,350,2016Q4,3302.76,,2518.825,1.311230435
577,350,2017Q1,3471.95,,2334.85,1.487012014
577,350,2017Q2,3657.725,,2507.3525,1.45879967
577,350,2017Q3,3559.84,,2496.92,1.425692453
577,350,2017Q4,3637.05,,2535.105,1.434674303
577,350,2018Q1,3820.96,,2633.815,1.450732113
577,350,2018Q2,3760.88,,2591.37,1.451309539
577,350,2018Q3,4021.9,,2714.86,1.48143919
577,350,2018Q4,3543.92,,2701.6475,1.311762545
598,350,2016Q1,3451.025,,1925,1.79274026
598,350,2016Q2,3870.53,,1897.33,2.039987772
598,350,2016Q3,3874.835,,2464.9,1.572004949
598,350,2016Q4,3384.245,,2018.98,1.676215218
598,350,2017Q1,3647.2,,2314.825,1.575583467
598,350,2017Q2,3844.05,,2074.81,1.852723864
598,350,2017Q3,4180.005,,2304.7,1.813687248
598,350,2017Q4,4162.84,,2152.4125,1.934034485
598,350,2018Q1,3973.71,,2069.4925,1.920137425
598,350,2018Q2,3710.48,,2282.82,1.625393154
598,350,2018Q3,3883.735,,2148.89,1.807321454
598,350,2018Q4,3519.56,,2405.546667,1.463101942
350,265,2016Q1,,573.045,290.375,1.973465347
350,265,2016Q2,,610.145,286.77,2.127645849
350,265,2016Q3,,690.225,314.54,2.19439499
350,265,2016Q4,,1004.615,304.41,3.300203673
350,265,2017Q1,,1021.86,302.8425,3.374229179
350,265,2017Q2,,1135.84,347.2375,3.271075273
350,265,2017Q3,,1243.145,338.555,3.67191446
350,265,2017Q4,,1232.97,360.71,3.418175265
350,265,2018Q1,,1284.09,339.655,3.780571462
350,265,2018Q2,,1174.175,356.8725,3.290180667
350,265,2018Q3,,1314.43,425.25,3.09095826
350,265,2018Q4,,1130.535,403.475,2.801995167
350,403,2016Q1,,2322.14,1083.005,2.144163693
350,403,2016Q2,,2244.97,1197.5225,1.874678764
350,403,2016Q3,,2505.08,1161.4,2.15694851
350,403,2016Q4,,2572.9,927.6175,2.773664792
350,403,2017Q1,,2503.6,908.075,2.757040993
350,403,2017Q2,,2281.21,973.275,2.343849375
350,403,2017Q3,,2572.435,1002.8925,2.565015692
350,403,2017Q4,,2127.255,919.1575,2.31435309
350,403,2018Q1,,2003.75,894.4225,2.240272355
350,403,2018Q2,,1838.545,925.9675,1.985539449
350,403,2018Q3,,2079.895,976.515,2.129916079
350,403,2018Q4,,1953.14,880.4625,2.218311399
350,577,2016Q1,,4313.855,2411.25,1.789053396
350,577,2016Q2,,4133.72,2193.726667,1.884336851
350,577,2016Q3,,4695.61,2580.196667,1.819865152
350,577,2016Q4,,5050.9,2375.275,2.126448516
350,577,2017Q1,,4561.635,2189.2875,2.083616245
350,577,2017Q2,,4583.425,2305.765,1.987810987
350,577,2017Q3,,4764.12,2318.17,2.055121065
350,577,2017Q4,,4686.63,2409.945,1.944704132
350,577,2018Q1,,4425.26,2385.3275,1.855200177
350,577,2018Q2,,4477.95,2524.555,1.773758147
350,577,2018Q3,,5028.87,2463.5875,2.041279232
350,577,2018Q4,,4861.43,2398.8925,2.026530993
350,598,2016Q1,,3869.635,1984.5,1.949929453
350,598,2016Q2,,4103.735,,#DIV/0!
350,598,2016Q3,,4918.13,1943.89,2.530045424
350,598,2016Q4,,4501.415,1780.725,2.527855228
350,598,2017Q1,,4452.01,1980.0125,2.248475704
350,598,2017Q2,,4248.12,1957.215,2.170492256
350,598,2017Q3,,4560.58,2138.735,2.132372641
350,598,2017Q4,,4536.775,1809.913333,2.506625547
350,598,2018Q1,,4251.59,1890.73,2.248649992
350,598,2018Q2,,4247.495,1781.31,2.384478277
350,598,2018Q3,,4446.925,1883.405,2.361109268
350,598,2018Q4,,4289.535,1907.585,2.24867306
