sourceid,dstid,Time Period,AM Peak Hours (in seconds),PM Peak Hours (in seconds),Flow-Flow Hours (in seconds),Travel Time Index (Peak/Free Flow)
265,382,2016Q1,6222.63,,3351,1.85694718
265,382,2016Q2,6035.355,,2835.445,2.128538907
265,382,2016Q3,7298.945,,2866.755,2.54606515
265,382,2016Q4,6363.99,,2805.42,2.268462476
265,382,2017Q1,6799.285,,2503,2.716454255
265,382,2017Q2,6406.81,,2774.913333,2.308832468
265,382,2017Q3,7994.285,,2687.105,2.975054938
265,382,2017Q4,7305.37,,2655.75,2.750774734
265,382,2018Q1,6606.2,,2821.205,2.341623526
265,382,2018Q2,6811.45,,3573.23,1.90624449
265,382,2018Q3,7836.34,,2835.98,2.763185918
265,382,2018Q4,6282.26,,2853.8325,2.201341529
403,382,2016Q1,5402.67,,2548.4,2.120024329
403,382,2016Q2,4853.725,,2819.775,1.721316417
403,382,2016Q3,5884.07,,2609.325,2.255016144
403,382,2016Q4,5169.835,,2527.655,2.045308794
403,382,2017Q1,5392.69,,2643.073333,2.040310396
403,382,2017Q2,5360.21,,2634.666667,2.034492662
403,382,2017Q3,5828.565,,2669.175,2.183657872
403,382,2017Q4,5563.04,,2753.775,2.020150521
403,382,2018Q1,5641.23,,2672.17,2.111104458
403,382,2018Q2,5434.795,,2744.363333,1.980348205
403,382,2018Q3,6345.01,,2747.31,2.309535509
403,382,2018Q4,5492.855,,2845.015,1.930694566
577,382,2016Q1,162.435,,175.3775,0.92620205
577,382,2016Q2,161.46,,155.8125,1.036245487
577,382,2016Q3,180.915,,153.5975,1.177851202
577,382,2016Q4,168.945,,147.585,1.144730156
577,382,2017Q1,175.785,,131.6,1.33575228
577,382,2017Q2,175.885,,134.7025,1.305729292
577,382,2017Q3,188.335,,125.0925,1.505565881
577,382,2017Q4,184.505,,124.6775,1.479858034
577,382,2018Q1,182.52,,130.8125,1.395279503
577,382,2018Q2,184.33,,123.3275,1.49463826
577,382,2018Q3,189.94,,125.4975,1.513496285
577,382,2018Q4,181.87,,123.855,1.468410641
598,382,2016Q1,2496.68,,,#DIV/0!
598,382,2016Q2,2406.05,,,#DIV/0!
598,382,2016Q3,2684.33,,,#DIV/0!
598,382,2016Q4,2613.405,,,#DIV/0!
598,382,2017Q1,2671.68,,2087.86,1.279626029
598,382,2017Q2,2733.84,,1734,1.576608997
598,382,2017Q3,2949.09,,,#DIV/0!
598,382,2017Q4,2795.325,,,#DIV/0!
598,382,2018Q1,2786.28,,2089.48,1.3334801
598,382,2018Q2,2773.78,,,#DIV/0!
598,382,2018Q3,3081.155,,1992.165,1.546636448
598,382,2018Q4,2960.9,,1880.14,1.574829534
382,265,2016Q1,,7654.16,3069.3675,2.493725499
382,265,2016Q2,,8381.85,3311.1275,2.531418678
382,265,2016Q3,,8670.39,3046.775,2.845759861
382,265,2016Q4,,8085.425,3001.6725,2.693639962
382,265,2017Q1,,7453.32,2678.7025,2.782436646
382,265,2017Q2,,8644.025,2929.0675,2.951118402
382,265,2017Q3,,9961.805,2917.823333,3.414122057
382,265,2017Q4,,8678.99,3053.04,2.842737075
382,265,2018Q1,,8829.82,2988.8125,2.954290375
382,265,2018Q2,,8486.395,2996.53,2.832074099
382,265,2018Q3,,8202.31,3137.8075,2.614025876
382,265,2018Q4,,7484.92,3114.835,2.402990849
382,403,2016Q1,,6794.88,3213.51,2.114472959
382,403,2016Q2,,6594.37,2824.406667,2.334780638
382,403,2016Q3,,7529.325,2594.426667,2.902115175
382,403,2016Q4,,6743.96,2668.04,2.527683243
382,403,2017Q1,,6391.225,2920.345,2.18851711
382,403,2017Q2,,6377.49,2612.9,2.440770791
382,403,2017Q3,,6892.315,2817.24,2.446477758
382,403,2017Q4,,6891.675,2653.325,2.597373107
382,403,2018Q1,,6462.295,2846.873333,2.269962251
382,403,2018Q2,,5999.695,2611.74,2.297202248
382,403,2018Q3,,6500.2,2649.063333,2.453772969
382,403,2018Q4,,6302.655,2524.76,2.496338266
382,577,2016Q1,,393.465,263.5675,1.492843389
382,577,2016Q2,,357.105,247.0125,1.445696068
382,577,2016Q3,,358.635,219.4,1.634617138
382,577,2016Q4,,317.345,193.9575,1.636157406
382,577,2017Q1,,310.335,171.2925,1.811725557
382,577,2017Q2,,325.27,180.68,1.800254594
382,577,2017Q3,,355.505,169.6025,2.096107074
382,577,2017Q4,,367.81,168.6825,2.18048701
382,577,2018Q1,,373.19,173.57,2.15008354
382,577,2018Q2,,379.205,168.56,2.249673707
382,577,2018Q3,,356.525,165.65,2.152278901
382,577,2018Q4,,374.665,156.6925,2.391084449
382,598,2016Q1,,3757.42,,#DIV/0!
382,598,2016Q2,,3566.575,2079.57,1.715054074
382,598,2016Q3,,3864.425,1922.5,2.010104031
382,598,2016Q4,,3318.685,,#DIV/0!
382,598,2017Q1,,3304.185,1869.75,1.767180104
382,598,2017Q2,,3441.445,1671.44,2.05897011
382,598,2017Q3,,3892.695,,#DIV/0!
382,598,2017Q4,,3772.65,1608.073333,2.34606838
382,598,2018Q1,,3702.66,1781.445,2.078458779
382,598,2018Q2,,3701.47,1918.27,1.929587597
382,598,2018Q3,,3825.045,1807.34,2.116394812
382,598,2018Q4,,3979.195,1656.743333,2.401817421
