,,,,,,,,,
BKC,,,,,,,,,
Source,Destination,Distance (in km),Diesel consumption per km,Litres of diesel consumed in free flow per route,Route level TTI ,Litres of diesel consumed in peak hours per route,Additional litres of diesel consumed per route,Cost of diesel per litre,Additional diesel costs per route
Borivali,BKC,22.52,0.035,0.79,2.88,2.27,1.48,63.25,93.92
Andheri West,BKC,13.76,0.035,0.48,2.03,0.98,0.50,63.25,31.48
Marine Drive,BKC,19.68,0.035,0.69,1.41,0.97,0.28,63.25,17.88
Chembur,BKC,9.06,0.035,0.32,2.60,0.82,0.51,63.25,32.00
BKC,Borivali,22.48,0.035,0.79,3.53,2.78,1.99,63.25,125.90
BKC,Andheri West,15.48,0.035,0.54,2.61,1.42,0.87,63.25,55.28
BKC,Marine Drive,20.05,0.035,0.70,2.03,1.42,0.72,63.25,45.67
BKC,Chembur,9.07,0.035,0.32,3.20,1.02,0.70,63.25,44.20
,,,,,,,,,
,,,,,,,,,
Andheri East,,,,,,,,,
Source,Destination,Distance (in km),Diesel consumption per km,Litres of diesel consumed in free flow per route,Route level TTI ,Litres of diesel consumed in peak hours per route,Additional litres of diesel consumed per route,Cost of diesel per litre,Additional diesel costs per route
Borivali,Andheri East,13.85,0.035,0.48,3.39,1.64,1.16,63.25,73.29
Andheri West,Andheri East,5.38,0.035,0.19,1.66,0.31,0.12,63.25,7.89
Marine Drive,Andheri East,26.37,0.035,0.92,1.46,1.35,0.43,63.25,27.10
Chembur,Andheri East,14.86,0.035,0.52,2.04,1.06,0.54,63.25,34.22
Andheri East,Borivali,13.17,0.035,0.46,4.20,1.93,1.47,63.25,93.20
Andheri East,Andheri West,4.46,0.035,0.16,2.77,0.43,0.28,63.25,17.44
Andheri East,Marine Drive,26.15,0.035,0.92,1.98,1.82,0.90,63.25,56.97
Andheri East,Chembur,16.35,0.035,0.57,2.46,1.41,0.83,63.25,52.70
,,,,,,,,,
,,,,,,,,,
Malad,,,,,,,,,
Source,Destination,Distance (in km),Diesel consumption per km,Litres of diesel consumed in free flow per route,Route level TTI ,Litres of diesel consumed in peak hours per route,Additional litres of diesel consumed per route,Cost of diesel per litre,Additional diesel costs per route
Borivali,Malad,5.13,0.035,0.18,2.72,0.49,0.31,63.25,19.50
Andheri West,Malad,7.95,0.035,0.28,1.39,0.39,0.11,63.25,6.93
Marine Drive,Malad,32.79,0.035,1.15,1.40,1.60,0.46,63.25,28.87
Chembur,Malad,22.56,0.035,0.79,1.76,1.39,0.60,63.25,37.76
Malad,Borivali,4.77,0.035,0.17,3.02,0.50,0.34,63.25,21.38
Malad,Andheri West,8.16,0.035,0.29,2.29,0.65,0.37,63.25,23.34
Malad,Marine Drive,33.53,0.035,1.17,1.95,2.29,1.11,63.25,70.44
Malad,Chembur,23.73,0.035,0.83,2.30,1.91,1.08,63.25,68.34
,,,,,,,,,
,,,,,,,,,
Nariman Point,,,,,,,,,
Source,Destination,Distance (in km),Diesel consumption per km,Litres of diesel consumed in free flow per route,Route level TTI ,Litres of diesel consumed in peak hours per route,Additional litres of diesel consumed per route,Cost of diesel per litre,Additional diesel costs per route
Borivali,Nariman Point,38.58,0.035,1.35,2.41,3.26,1.91,63.25,120.83
Andheri West,Nariman Point,30.71,0.035,1.07,2.06,2.22,1.14,63.25,72.25
Marine Drive,Nariman Point,1.37,0.035,0.05,1.32,0.06,0.02,63.25,0.96
Chembur,Nariman Point,18.15,0.035,0.64,1.46,0.93,0.29,63.25,18.57
Nariman Point,Borivali,38.34,0.035,1.34,2.78,3.73,2.39,63.25,151.07
Nariman Point,Andheri West,31.33,0.035,1.10,2.42,2.66,1.56,63.25,98.66
Nariman Point,Marine Drive,0.94,0.035,0.03,1.92,0.06,0.03,63.25,1.91
Nariman Point,Chembur,19.26,0.035,0.67,2.05,1.38,0.71,63.25,44.65
,,,,,,,,,
,,,,,,,,,
Lower Parel,,,,,,,,,
Source,Destination,Distance (in km),Diesel consumption per km,Litres of diesel consumed in free flow per route,Route level TTI ,Litres of diesel consumed in peak hours per route,Additional litres of diesel consumed per route,Cost of diesel per litre,Additional diesel costs per route
Borivali,Lower Parel,28.14,0.035,0.98,2.94,2.90,1.92,63.25,121.15
Andheri West,Lower Parel,20.27,0.035,0.71,2.31,1.64,0.93,63.25,58.71
Marine Drive,Lower Parel,11.09,0.035,0.39,1.52,0.59,0.20,63.25,12.76
Chembur,Lower Parel,11.72,0.035,0.41,2.44,1.00,0.59,63.25,37.30
Lower Parel,Borivali,30.06,0.035,1.05,3.36,3.54,2.49,63.25,157.19
Lower Parel,Andheri West,23.06,0.035,0.81,2.83,2.29,1.48,63.25,93.62
Lower Parel,Marine Drive,9.61,0.035,0.34,2.42,0.81,0.48,63.25,30.22
Lower Parel,Chembur,12.15,0.035,0.43,2.59,1.10,0.68,63.25,42.74
