,,,,,,,,,,,,,,,,,,,,
BKC,,,,,,,,,,,,,,,,,,,,
,,,Cars,,,,,,,Two Wheelers,,,,,,,,,,
Source,Destination,Distance (in km),Petrol consumption per km,Litres of petrol consumed in free flow per route,Route level TTI ,Litres of petrol consumed in peak hours per route,Additional litres of petrol consumed per route,Co2 emissions (kg per litre) ,Additional Co2 emissions per route (kg per litre) ,Petrol consumption per km,Litres of petrol consumed in free flow per route,Litres of petrol consumed in peak hours per route,Additional litres of petrol consumed per route,Additional Co2 emissions per route (kg per litre) ,Additional C02 emissions kg per litre of petrol (Weighted Average of Cars + Two Wheelers),Cost of emissions per kg (USD), Cost of additional petrol emissions per kg (USD per route),Conversation rate: $1 = INR 70, Cost of additional petrol emissions per kg (USD per route),Cost of additional petrol emissions per kg (INR per route)
Borivali,BKC,22.52,0.047,1.06,2.88,3.05,1.99,2.66,5.30,0.017,0.38,1.10,0.72,1.92,3.14,0.086,0.27,70.00,0.27,18.89
Andheri West,BKC,13.76,0.047,0.65,2.03,1.32,0.67,2.66,1.78,0.017,0.23,0.48,0.24,0.64,1.05,0.086,0.09,70.00,0.09,6.33
Marine Drive,BKC,19.68,0.047,0.92,1.41,1.30,0.38,2.66,1.01,0.017,0.33,0.47,0.14,0.37,0.60,0.086,0.05,70.00,0.05,3.59
Chembur,BKC,9.06,0.047,0.43,2.60,1.11,0.68,2.66,1.81,0.017,0.15,0.40,0.25,0.65,1.07,0.086,0.09,70.00,0.09,6.43
BKC,Borivali,22.48,0.047,1.06,3.53,3.73,2.67,2.66,7.11,0.017,0.38,1.35,0.97,2.57,4.21,0.086,0.36,70.00,0.36,25.32
BKC,Andheri West,15.48,0.047,0.73,2.61,1.90,1.17,2.66,3.12,0.017,0.26,0.69,0.42,1.13,1.85,0.086,0.16,70.00,0.16,11.12
BKC,Marine Drive,20.05,0.047,0.94,2.03,1.91,0.97,2.66,2.58,0.017,0.34,0.69,0.35,0.93,1.53,0.086,0.13,70.00,0.13,9.18
BKC,Chembur,9.07,0.047,0.43,3.20,1.36,0.94,2.66,2.50,0.017,0.15,0.49,0.34,0.90,1.48,0.086,0.13,70.00,0.13,8.89
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Andheri East,,,,,,,,,,,,,,,,,,,,
,,,Cars,,,,,,,Two Wheelers,,,,,,,,,,
Source,Destination,Distance (in km),Petrol consumption per km,Litres of petrol consumed in free flow per route,Route level TTI ,Litres of petrol consumed in peak hours per route,Additional litres of petrol consumed per route,Co2 emissions (kg per litre) ,Additional Co2 emissions per route (kg per litre) ,Petrol consumption per km,Litres of petrol consumed in free flow per route,Litres of petrol consumed in peak hours per route,Additional litres of petrol consumed per route,Additional Co2 emissions per route (kg per litre) ,Additional C02 emissions kg per litre of petrol (Weighted Average of Cars + Two Wheelers),Cost of emissions per kg (USD), Cost of additional petrol emissions per kg (USD per route),Conversation rate: $1 = INR 70, Cost of additional petrol emissions per kg (USD per route),Cost of additional petrol emissions per kg (INR per route)
Borivali,Andheri East,13.85,0.047,0.65,3.39,2.21,1.56,2.66,4.14,0.017,0.24,0.80,0.56,1.50,1.43,0.086,0.12,70.00,0.12,8.59
Andheri West,Andheri East,5.38,0.047,0.25,1.66,0.42,0.17,2.66,0.45,0.017,0.09,0.15,0.06,0.16,0.02,0.086,0.00,70.00,0.00,0.10
Marine Drive,Andheri East,26.37,0.047,1.24,1.46,1.81,0.58,2.66,1.53,0.017,0.45,0.66,0.21,0.55,0.20,0.086,0.02,70.00,0.02,1.18
Chembur,Andheri East,14.86,0.047,0.70,2.04,1.42,0.73,2.66,1.93,0.017,0.25,0.52,0.26,0.70,0.31,0.086,0.03,70.00,0.03,1.87
Andheri East,Borivali,13.17,0.047,0.62,4.20,2.60,1.98,2.66,5.26,0.017,0.22,0.94,0.72,1.90,2.31,0.086,0.20,70.00,0.20,13.90
Andheri East,Andheri West,4.46,0.047,0.21,2.77,0.58,0.37,2.66,0.98,0.017,0.08,0.21,0.13,0.36,0.08,0.086,0.01,70.00,0.01,0.49
Andheri East,Marine Drive,26.15,0.047,1.23,1.98,2.44,1.21,2.66,3.22,0.017,0.44,0.88,0.44,1.16,0.86,0.086,0.07,70.00,0.07,5.19
Andheri East,Chembur,16.35,0.047,0.77,2.46,1.89,1.12,2.66,2.98,0.017,0.28,0.68,0.40,1.08,0.74,0.086,0.06,70.00,0.06,4.44
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Malad,,,,,,,,,,,,,,,,,,,,
,,,Cars,,,,,,,Two Wheelers,,,,,,,,,,
